provider,period,facet_axis,facet_label,weighted_mentions,raw_mention_count,period_weight_denominator,share
OpenAI,2026 YTD,headline_task_mode,Knowledge Retrieval,0.16515837104072398,5,3.0,0.05505279034690799
OpenAI,2026 YTD,headline_task_mode,Constraint Satisfaction,0.06787330316742082,2,3.0,0.022624434389140274
OpenAI,2026 YTD,interaction_pattern,static_prompt_response,1.1228991596638656,37,3.0,0.3742997198879552
OpenAI,2026 YTD,interaction_pattern,multi_step_planning,0.6892911010558069,38,3.0,0.22976370035193563
OpenAI,2026 YTD,interaction_pattern,environment_interaction,0.5205774617539324,31,3.0,0.17352582058464414
OpenAI,2026 YTD,interaction_pattern,terminal_or_codebase_interaction,0.31725382460676577,14,3.0,0.10575127486892193
OpenAI,2026 YTD,interaction_pattern,computer_control,0.14476944624003446,10,3.0,0.04825648208001149
OpenAI,2026 YTD,interaction_pattern,browser_or_web_interaction,0.12998276233570352,10,3.0,0.04332758744523451
OpenAI,2026 YTD,interaction_pattern,single_turn_tool_use,0.05260180995475113,5,3.0,0.01753393665158371
OpenAI,2026 YTD,interaction_pattern,multi_turn_dialogue,0.022624434389140274,2,3.0,0.007541478129713425
OpenAI,2026 YTD,modality,text,1.5875026933850462,67,3.0,0.5291675644616821
OpenAI,2026 YTD,modality,code,0.4641241111829347,17,3.0,0.15470803706097822
OpenAI,2026 YTD,modality,tool_api,0.31130144365438484,19,3.0,0.10376714788479495
OpenAI,2026 YTD,modality,document_layout,0.18379659556130146,11,3.0,0.06126553185376715
OpenAI,2026 YTD,modality,image,0.16978560655031244,13,3.0,0.05659520218343748
OpenAI,2026 YTD,modality,browser_ui,0.1330209006679595,10,3.0,0.044340300222653166
OpenAI,2026 YTD,modality,multimodal_mixed,0.09870717517776341,9,3.0,0.03290239172592114
OpenAI,2026 YTD,modality,desktop_ui,0.051761473820297346,4,3.0,0.01725382460676578
Google,2026 YTD,context_pressure,short,0.8579545454545454,11,2.0,0.4289772727272727
Google,2026 YTD,context_pressure,medium,0.7272727272727273,11,2.0,0.36363636363636365
Google,2026 YTD,context_pressure,long_context_supporting,0.26136363636363635,4,2.0,0.13068181818181818
Google,2026 YTD,context_pressure,long_context_primary,0.1534090909090909,2,2.0,0.07670454545454546
Google,2026 YTD,domain,General/Commonsense,0.5482954545454546,12,2.0,0.2741477272727273
Google,2026 YTD,domain,Other Specialized,0.3502840909090909,13,2.0,0.17514204545454545
Google,2026 YTD,domain,STEM/Math,0.3474431818181818,13,2.0,0.1737215909090909
Google,2026 YTD,domain,Coding/Engineering,0.3176136363636364,9,2.0,0.1588068181818182
Google,2026 YTD,domain,Bio/Medicine,0.1940340909090909,9,2.0,0.09701704545454545
Google,2026 YTD,domain,Visual/Document,0.14573863636363638,6,2.0,0.07286931818181819
Google,2026 YTD,domain,Multilingual,0.07102272727272727,3,2.0,0.03551136363636363
Google,2026 YTD,domain,Law,0.025568181818181816,2,2.0,0.012784090909090908
Google,2026 YTD,headline_task_mode,Agentic,0.7159090909090909,11,2.0,0.35795454545454547
Google,2026 YTD,headline_task_mode,Multimodal Perception,0.6420454545454546,8,2.0,0.3210227272727273
Google,2026 YTD,headline_task_mode,Generative Reasoning,0.24431818181818182,3,2.0,0.12215909090909091
Google,2026 YTD,headline_task_mode,Knowledge Retrieval,0.24431818181818182,3,2.0,0.12215909090909091
Google,2026 YTD,headline_task_mode,Constraint Satisfaction,0.1534090909090909,2,2.0,0.07670454545454546
Google,2026 YTD,interaction_pattern,static_prompt_response,1.4081439393939394,20,2.0,0.7040719696969697
Google,2026 YTD,interaction_pattern,multi_step_planning,0.203125,9,2.0,0.1015625
Google,2026 YTD,interaction_pattern,environment_interaction,0.140625,7,2.0,0.0703125
Google,2026 YTD,interaction_pattern,terminal_or_codebase_interaction,0.08854166666666666,4,2.0,0.04427083333333333
Google,2026 YTD,interaction_pattern,multi_turn_dialogue,0.05113636363636363,2,2.0,0.025568181818181816
Google,2026 YTD,interaction_pattern,browser_or_web_interaction,0.041666666666666664,2,2.0,0.020833333333333332
Google,2026 YTD,interaction_pattern,human_in_the_loop,0.030303030303030304,1,2.0,0.015151515151515152
Google,2026 YTD,interaction_pattern,single_turn_tool_use,0.020833333333333332,1,2.0,0.010416666666666666
Google,2026 YTD,interaction_pattern,computer_control,0.015625,1,2.0,0.0078125
Google,2026 YTD,modality,text,1.2334280303030303,27,2.0,0.6167140151515151
Google,2026 YTD,modality,code,0.19128787878787878,6,2.0,0.09564393939393939
Google,2026 YTD,modality,image,0.15104166666666666,6,2.0,0.07552083333333333
Google,2026 YTD,modality,multimodal_mixed,0.1425189393939394,6,2.0,0.0712594696969697
Google,2026 YTD,modality,tool_api,0.125,5,2.0,0.0625
Google,2026 YTD,modality,document_layout,0.06960227272727273,3,2.0,0.03480113636363637
Google,2026 YTD,modality,browser_ui,0.041666666666666664,2,2.0,0.020833333333333332
Google,2026 YTD,modality,audio,0.022727272727272728,1,2.0,0.011363636363636364
Google,2026 YTD,modality,video,0.022727272727272728,1,2.0,0.011363636363636364
Anthropic,2026 YTD,context_pressure,medium,0.9447004608294931,26,2.0,0.47235023041474655
Anthropic,2026 YTD,context_pressure,short,0.43164362519201227,11,2.0,0.21582181259600614
Anthropic,2026 YTD,context_pressure,long_context_supporting,0.4162826420890937,12,2.0,0.20814132104454686
Anthropic,2026 YTD,context_pressure,long_context_primary,0.12749615975422426,3,2.0,0.06374807987711213
Anthropic,2026 YTD,context_pressure,none,0.07987711213517665,2,2.0,0.039938556067588324
Anthropic,2026 YTD,domain,Coding/Engineering,0.5157194060419866,22,2.0,0.2578597030209933
Anthropic,2026 YTD,domain,Other Specialized,0.3957757296466974,23,2.0,0.1978878648233487
Anthropic,2026 YTD,domain,General/Commonsense,0.3783922171018945,18,2.0,0.18919610855094726
Anthropic,2026 YTD,domain,STEM/Math,0.15332821300563235,11,2.0,0.07666410650281617
Anthropic,2026 YTD,domain,Visual/Document,0.142831541218638,10,2.0,0.071415770609319
Anthropic,2026 YTD,domain,Bio/Medicine,0.12107014848950332,9,2.0,0.06053507424475166
Anthropic,2026 YTD,domain,Finance,0.10650281618023553,4,2.0,0.05325140809011777
Anthropic,2026 YTD,domain,Law,0.09318996415770608,4,2.0,0.04659498207885304
Anthropic,2026 YTD,domain,Multilingual,0.05325140809011776,4,2.0,0.02662570404505888
Anthropic,2026 YTD,domain,Cybersecurity,0.039938556067588324,2,2.0,0.019969278033794162
Anthropic,2026 YTD,headline_task_mode,Agentic,1.2488479262672811,33,2.0,0.6244239631336406
Anthropic,2026 YTD,headline_task_mode,Multimodal Perception,0.3195084485407066,8,2.0,0.1597542242703533
Anthropic,2026 YTD,headline_task_mode,Constraint Satisfaction,0.1597542242703533,4,2.0,0.07987711213517665
Anthropic,2026 YTD,headline_task_mode,Generative Reasoning,0.1443932411674347,4,2.0,0.07219662058371736
Anthropic,2026 YTD,headline_task_mode,Knowledge Retrieval,0.12749615975422426,3,2.0,0.06374807987711213
